,spy,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-08-30,453.0799865722656,154.3000030517578,226.3699951171875,159.3000030517578,218.1699981689453,210.3699951171875,267.0799865722656,59.41999816894531,97.48999786376953,181.0,62.119998931884766,411.30999755859375,330.3399963378906,228.36000061035156,133.44168090820312,53.5099983215332,175.0399932861328,159.49000549316406,56.72999954223633,238.82000732421875,194.38999938964844,77.26000213623047,301.1400146484375,163.2899932861328,144.0500030517578,159.1699981689453,422.8599853515625,225.11000061035156,55.43000030517578,51.290000915527344,149.25
2021-09-06,445.44000244140625,148.97000122070312,213.75,158.72000122070312,210.3000030517578,205.00999450683594,257.20001220703125,57.88999938964844,96.06999969482422,184.1199951171875,60.40999984741211,403.4800109863281,331.95001220703125,222.3699951171875,130.9942626953125,53.84000015258789,166.97000122070312,157.36000061035156,55.61000061035156,239.17999267578125,184.5500030517578,73.44999694824219,295.7099914550781,163.58999633789062,144.1300048828125,156.36000061035156,403.9100036621094,224.91000366210938,54.22999954223633,49.45000076293945,145.88999938964844
2021-09-13,441.3999938964844,146.05999755859375,219.3800048828125,163.9199981689453,213.36000061035156,199.75,260.5299987792969,56.849998474121094,96.76000213623047,183.47000122070312,57.75,391.4599914550781,335.6700134277344,218.49000549316406,129.28298950195312,54.2599983215332,164.75,157.67999267578125,54.439998626708984,242.49000549316406,181.49000549316406,71.68000030517578,299.8699951171875,156.4199981689453,144.33999633789062,156.2899932861328,420.1600036621094,221.75,54.279998779296875,49.619998931884766,144.72999572753906
2021-09-20,443.9100036621094,146.9199981689453,213.61000061035156,175.72000122070312,221.38999938964844,196.82000732421875,285.6300048828125,56.72999954223633,100.5999984741211,176.0,56.810001373291016,390.8500061035156,337.489990234375,219.19000244140625,131.44358825683594,54.220001220703125,164.36000061035156,163.0399932861328,53.88999938964844,246.4199981689453,181.0399932861328,73.61000061035156,299.3500061035156,149.58999633789062,143.5500030517578,156.4600067138672,407.0799865722656,231.58999633789062,54.369998931884766,48.310001373291016,143.1699981689453
2021-09-27,434.239990234375,142.64999389648438,213.9199981689453,173.94000244140625,226.0,194.3300018310547,275.260009765625,55.13999938964844,104.33000183105469,176.00999450683594,58.58000183105469,380.0,329.8599853515625,215.64999389648438,137.0172119140625,53.86000061035156,160.47000122070312,167.1300048828125,53.02000045776367,242.92999267578125,176.67999267578125,81.4000015258789,289.1000061035156,147.05999755859375,139.5800018310547,152.4199981689453,392.42999267578125,230.4600067138672,54.29999923706055,46.79999923706055,137.0500030517578
2021-10-04,437.8599853515625,142.89999389648438,208.9499969482422,175.14999389648438,226.38999938964844,195.16000366210938,272.4800109863281,55.08000183105469,108.05000305175781,176.74000549316406,58.709999084472656,392.80999755859375,334.3399963378906,217.6999969482422,136.92160034179688,53.810001373291016,160.92999267578125,170.22000122070312,54.119998931884766,247.6999969482422,176.9499969482422,80.62999725341797,294.8500061035156,152.47999572753906,141.72999572753906,157.3300018310547,408.4599914550781,230.27000427246094,53.2400016784668,47.380001068115234,139.66000366210938
2021-10-11,445.8699951171875,144.83999633789062,207.83999633789062,175.80999755859375,217.0399932861328,199.02000427246094,291.6600036621094,55.25,109.61000061035156,176.4600067138672,58.959999084472656,406.07000732421875,350.4100036621094,220.72000122070312,138.25047302246094,54.459999084472656,161.3000030517578,166.61000061035156,54.47999954223633,242.25,181.94000244140625,78.33000183105469,304.2099914550781,158.00999450683594,144.4199981689453,155.63999938964844,428.07000732421875,230.99000549316406,52.27000045776367,48.91999816894531,140.5500030517578
2021-10-18,453.1199951171875,148.69000244140625,209.24000549316406,187.0800018310547,212.97000122070312,200.64999389648438,292.55999755859375,55.11000061035156,112.80000305175781,169.4199981689453,58.400001525878906,414.32000732421875,365.989990234375,217.39999389648438,122.25621032714844,49.459999084472656,163.72000122070312,171.77999877929688,54.45000076293945,238.44000244140625,180.8000030517578,81.1500015258789,309.1600036621094,163.47999572753906,140.8300018310547,162.3699951171875,449.1600036621094,231.22999572753906,52.93000030517578,49.0,148.33999633789062
2021-10-25,459.25,149.8000030517578,206.97000122070312,173.77999877929688,207.02999877929688,204.00999450683594,299.69000244140625,55.970001220703125,114.48999786376953,169.07000732421875,55.970001220703125,413.3500061035156,371.739990234375,218.6199951171875,119.59847259521484,49.0,162.8800048828125,169.88999938964844,56.369998931884766,245.5500030517578,178.67999267578125,88.05000305175781,331.6199951171875,167.2899932861328,142.99000549316406,160.8800048828125,460.4700012207031,211.77000427246094,52.9900016784668,47.02000045776367,149.4199981689453
2021-11-01,468.5299987792969,151.27999877929688,213.77000427246094,176.69000244140625,224.4600067138672,205.8800048828125,307.25,57.06999969482422,114.73999786376953,175.6300048828125,58.310001373291016,407.0799865722656,368.3999938964844,226.05999755859375,123.61000061035156,50.91999816894531,163.42999267578125,168.0500030517578,56.84000015258789,254.7100067138672,181.8000030517578,81.61000061035156,336.05999755859375,177.50999450683594,146.0399932861328,159.60000610351562,455.80999755859375,216.6699981689453,52.2400016784668,50.20000076293945,150.22999572753906
